N,me,solved,date,desc
102,0,7481,12 August 2005 05:00 pm,"For how many triangles in the text file does the interior contain the origin?"
103,0,2382,26 August 2005 05:00 pm,"Investigating sets with a special subset sum property."
104,0,5522,09 September 2005 05:00 pm,"Finding Fibonacci numbers for which the first and last nine digits are pandigital."
105,0,2397,23 September 2005 05:00 pm,"Find the sum of the special sum sets in the file."
106,0,1922,07 October 2005 05:00 pm,"Find the minimum number of comparisons needed to identify special sum sets."
107,0,3442,21 October 2005 05:00 pm,"Determining the most efficient way to connect the network."
108,0,4640,04 November 2005 06:00 pm,"Solving the Diophantine equation 1/<var>x</var> + 1/<var>y</var> = 1/<var>n</var>."
109,0,2435,18 November 2005 06:00 pm,"How many distinct ways can a player checkout in the game of darts with a score of less than 100?"
110,0,2863,02 December 2005 06:00 pm,"Find an efficient algorithm to analyse the number of solutions of the equation 1/<var>x</var> + 1/<var>y</var> = 1/<var>n</var>."
111,0,2299,16 December 2005 06:00 pm,"Search for 10-digit primes containing the maximum number of repeated digits."
112,0,8522,30 December 2005 06:00 pm,"Investigating the density of 'bouncy' numbers."
113,0,3994,10 February 2006 06:00 pm,"How many numbers below a googol (10<sup>100</sup>) are not &quot;bouncy&quot;?"
114,0,3557,17 February 2006 06:00 pm,"Investigating the number of ways to fill a row with separated blocks that are at least three units long."
115,0,3246,24 February 2006 06:00 pm,"Finding a generalisation for the number of ways to fill a row with separated blocks."
116,0,3954,03 March 2006 06:00 pm,"Investigating the number of ways of replacing square tiles with one of three coloured tiles."
117,0,3645,10 March 2006 06:00 pm,"Investigating the number of ways of tiling a row using different-sized tiles."
118,0,2086,24 March 2006 06:00 pm,"Exploring the number of ways in which sets containing prime elements can be made."
119,0,3994,07 April 2006 05:00 pm,"Investigating the numbers which are equal to sum of their digits raised to some power."
120,0,4902,21 April 2006 05:00 pm,"Finding the maximum remainder when (<i>a</i> &minus; 1)<sup><i>n</i></sup> + (<i>a</i> + 1)<sup><i>n</i></sup> is divided by <i>a</i><sup>2</sup>."
121,0,3005,19 May 2006 05:00 pm,"Investigate the game of chance involving coloured discs."
122,0,2566,02 June 2006 05:00 pm,"Finding the most efficient exponentiation method."
123,0,4196,16 June 2006 05:00 pm,"Determining the remainder when (<i>p<sub>n</sub></i> &minus; 1)<sup><i>n</i></sup> + (<i>p<sub>n</sub></i> + 1)<sup><i>n</i></sup> is divided by <i>p<sub>n</sub></i><sup>2</sup>."
124,0,5323,14 July 2006 05:00 pm,"Determining the <i>k</i><sup>th</sup> element of the sorted radical function."
125,0,4930,04 August 2006 05:00 pm,"Finding square sums that are palindromic."
126,0,1413,18 August 2006 05:00 pm,"Exploring the number of cubes required to cover every visible face on a cuboid."
127,0,1867,01 September 2006 05:00 pm,"Investigating the number of <i>abc-hits</i> below a given limit."
128,0,1546,29 September 2006 05:00 pm,"Which tiles in the hexagonal arrangement have prime differences with neighbours?"
129,0,2082,27 October 2006 05:00 pm,"Investigating minimal repunits that divide by <i>n</i>."
130,0,1982,27 October 2006 05:00 pm,"Finding composite values, <i>n</i>, for which <i>n</i>&minus;1 is divisible by the length of the smallest repunits that divide it."
131,0,2540,10 November 2006 06:00 pm,"Determining primes, <i>p</i>, for which <i>n</i><sup>3</sup> + <i>n</i><sup>2</sup><i>p</i> is a perfect cube."
132,0,2238,01 December 2006 06:00 pm,"Determining the first forty prime factors of a very large repunit."
133,0,1901,01 December 2006 06:00 pm,"Investigating which primes will never divide a repunit containing 10<sup><var>n</var></sup> digits."
134,0,2292,15 December 2006 06:00 pm,"Finding the smallest positive integer related to any pair of consecutive primes."
135,0,2109,29 December 2006 06:00 pm,"Determining the number of solutions of the equation <i>x</i><sup>2</sup> &minus; <i>y</i><sup>2</sup> &minus; <i>z</i><sup>2</sup> = <i>n</i>."
136,0,1862,29 December 2006 06:00 pm,"Discover when the equation <i>x</i><sup>2</sup> &minus; <i>y</i><sup>2</sup> &minus; <i>z</i><sup>2</sup> = <i>n</i> has a unique solution."
137,0,1813,12 January 2007 06:00 pm,"Determining the value of infinite polynomial series for which the coefficients are Fibonacci numbers."
138,0,2014,20 January 2007 11:00 am,"Investigating isosceles triangle for which the height and base length differ by one."
139,0,1797,27 January 2007 09:00 am,"Finding Pythagorean triangles which allow the square on the hypotenuse to be tiled."
140,0,1417,03 February 2007 07:00 am,"Investigating the value of infinite polynomial series for which the coefficients are a linear second order recurrence relation."
141,0,1211,17 February 2007 05:00 am,"Investigating progressive numbers, <i>n</i>, which are also square."
142,0,2003,24 February 2007 01:00 am,"Perfect Square Collection"
143,0,885,02 March 2007 09:00 pm,"Investigating the Torricelli point of a triangle"
144,0,1544,09 March 2007 05:00 pm,"Investigating multiple reflections of a laser beam. "
145,0,6001,16 March 2007 01:00 pm,"How many reversible numbers are there below one-billion?"
146,0,1708,24 March 2007 09:00 am,"Investigating a Prime Pattern "
147,0,974,31 March 2007 05:00 am,"Rectangles in cross-hatched grids"
148,0,1820,07 April 2007 01:00 am,"Exploring Pascal's triangle."
149,0,1626,13 April 2007 09:00 pm,"Searching for a maximum-sum subsequence."
150,0,1310,13 April 2007 09:00 pm,"Searching a triangular array for a sub-triangle having minimum-sum."
151,0,1787,20 April 2007 05:00 pm,"Paper sheets of standard sizes: an expected-value problem."
152,0,919,27 April 2007 01:00 pm,"Writing 1/2 as a sum of inverse squares"
153,0,858,05 May 2007 09:00 am,"Investigating Gaussian Integers"
154,0,913,12 May 2007 05:00 am,"Exploring Pascal&#39;s pyramid."
155,0,1269,19 May 2007 01:00 am,"Counting Capacitor Circuits."
156,0,831,25 May 2007 09:00 pm,"Counting Digits"
157,0,930,01 June 2007 05:00 pm,"Solving the diophantine equation <sup>1</sup>/<sub><var>a</var></sub>+<sup>1</sup>/<sub><var>b</var></sub>= <sup><var>p</var></sup>/<sub>10<sup><var>n</var></sup></sub> "
158,0,1320,15 June 2007 01:00 pm,"Exploring strings for which only one character comes lexicographically after its neighbour to the left."
159,0,1173, 30 June 2007 01:00 pm,"Digital root sums of factorisations."
160,0,1162,07 September 2007 01:00 pm,"Factorial trailing digits"
161,0,741,21 September 2007 05:00 pm,"Triominoes"
162,0,2074,05 October 2007 09:00 pm,"Hexadecimal numbers"
163,0,684,13 October 2007 01:00 am,"Cross-hatched triangles"
164,0,2148,20 October 2007 05:00 am,"Numbers for which no three consecutive digits have a sum greater than a given value."
165,0,924,27 October 2007 09:00 am,"Intersections"
166,0,1507,03 November 2007 01:00 pm,"Criss Cross"
167,0,633,09 November 2007 01:00 pm,"Investigating Ulam sequences"
168,0,985,16 November 2007 05:00 pm,"Number Rotations"
169,0,1452,23 November 2007 09:00 pm,"Exploring the number of different ways a number can be expressed as a sum of powers of 2."
170,0,730,01 December 2007 01:00 am,"Find the largest 0 to 9 pandigital that can be formed by concatenating products."
171,0,886,08 December 2007 05:00 am,"Finding numbers for which the sum of the squares of the digits is a square."
172,0,1388,15 December 2007 09:00 am,"Investigating numbers with few repeated digits."
173,0,3526,22 December 2007 01:00 pm,"Using up to one million tiles how many different 'hollow' square laminae can be formed?"
174,0,2325,22 December 2007 01:00 pm,"Counting the number of 'hollow' square laminae that can form one, two, three, ... distinct arrangements."
175,0,704,28 December 2007 01:00 pm,"Fractions involving the number of different ways a number can be expressed as a sum of powers of 2. "
176,0,754,04 January 2008 05:00 pm,"Rectangular triangles that share a cathetus."
177,0,515,11 January 2008 09:00 pm,"Integer angled Quadrilaterals."
178,0,1282,19 January 2008 01:00 am,"Step Numbers"
179,0,4437,26 January 2008 05:00 am,"Consecutive positive divisors"
180,0,613,02 February 2008 09:00 am,"Rational zeros of a function of three variables."
181,0,688,09 February 2008 01:00 pm,"Investigating in how many ways objects of two different colours can be grouped."
182,0,967,15 February 2008 01:00 pm,"RSA encryption"
183,0,1941,22 February 2008 05:00 pm,"Maximum product of parts"
184,0,598,29 February 2008 09:00 pm,"Triangles containing the origin."
185,0,1174,08 March 2008 01:00 am,"Number Mind"
186,0,1026,15 March 2008 05:00 am,"Connectedness of a network."
187,0,4319,22 March 2008 09:00 am,"Semiprimes"
188,0,2630,04 April 2008 01:00 pm,"The hyperexponentiation of a number"
189,0,740,11 April 2008 04:00 pm,"Tri-colouring a triangular grid"
190,0,1578,18 April 2008 09:00 pm,"Maximising a weighted product"
191,0,2730,26 April 2008 12:00 am,"Prize Strings"
192,0,626,03 May 2008 04:00 am,"Best Approximations"
193,0,1141,10 May 2008 12:00 pm,"Squarefree Numbers"
194,0,551,17 May 2008 09:00 am,"Coloured Configurations"
195,0,526,23 May 2008 01:00 pm,"Inscribed circles of triangles with one angle of 60 degrees"
196,0,852,30 May 2008 05:00 pm,"Prime triplets"
197,0,2113,06 June 2008 09:00 pm,"Investigating the behaviour of a recursively defined sequence"
198,0,446,14 June 2008 01:00 am,"Ambiguous Numbers"
199,0,717,21 June 2008 05:00 am,"Iterative Circle Packing"
200,0,843,28 June 2008 09:00 am,"Find the 200th prime-proof sqube containing the contiguous sub-string '200'"
201,0,839,05 July 2008 01:00 pm,"Subsets with a unique sum"
202,0,1010,05 July 2008 01:00 pm,"Laserbeam"
203,0,3735,06 September 2008 01:00 pm,"Squarefree Binomial Coefficients"
204,0,3065,06 September 2008 01:00 pm,"Generalised Hamming Numbers"
205,0,5879,06 September 2008 01:00 pm,"Dice Game"
206,0,8459,06 September 2008 01:00 pm,"Concealed Square"
207,0,2066,06 September 2008 01:00 pm,"Integer partition equations"
208,0,718,12 September 2008 01:00 pm,"Robot Walks"
209,0,1070,19 September 2008 05:00 pm,"Circular Logic"
210,0,686,26 September 2008 09:00 pm,"Obtuse Angled Triangles"
211,0,1461,04 October 2008 01:00 am,"Divisor Square Sum"
212,0,632,11 October 2008 05:00 am,"Combined Volume of Cuboids"
213,0,901,18 October 2008 09:00 am,"Flea Circus"
214,0,2110,25 October 2008 01:00 pm,"Totient Chains"
215,0,1562,31 October 2008 01:00 pm,"Crack-free Walls"
216,0,1634,07 November 2008 05:00 pm,"Investigating the primality of numbers of the form 2<var>n</var><sup>2</sup>-1"
217,0,628,14 November 2008 09:00 pm,"Balanced Numbers"
218,0,1175,22 November 2008 01:00 am,"Perfect right-angled triangles"
219,0,667,29 November 2008 05:00 am,"Skew-cost coding"
220,0,1138,06 December 2008 09:00 am,"Heighway Dragon"
221,0,868,13 December 2008 01:00 pm,"Alexandrian Integers"
222,0,922,19 December 2008 01:00 pm,"Sphere Packing"
223,0,570,26 December 2008 05:00 pm,"Almost right-angled triangles I"
224,0,493,26 December 2008 05:00 pm,"Almost right-angled triangles II"
225,0,1772,26 December 2008 05:00 pm,"Tribonacci non-divisors"
226,0,816,02 January 2009 09:00 pm,"A Scoop of Blancmange"
227,0,812,10 January 2009 01:00 am,"The Chase"
228,0,646,17 January 2009 05:00 am,"Minkowski Sums"
229,0,607,24 January 2009 09:00 am,"Four Representations using Squares"
230,0,1339,31 January 2009 01:00 pm,"Fibonacci Words"
231,0,2287,06 February 2009 01:00 pm,"The prime factorisation of binomial coefficients"
232,0,736,13 February 2009 05:00 pm,"The Race"
233,0,574,20 February 2009 09:00 pm,"Lattice points on a circle"
234,0,1528,28 February 2009 01:00 am,"Semidivisible numbers"
235,0,2325,07 March 2009 05:00 am,"An Arithmetic Geometric sequence"
236,0,448,14 March 2009 09:00 am,"Luxury Hampers"
237,0,648,21 March 2009 01:00 pm,"Tours on a 4 x n playing board"
238,0,464,29 March 2009 02:00 pm,"Infinite string tour"
239,0,772,03 April 2009 04:00 pm,"Twenty-two Foolish Primes"
240,0,934,10 April 2009 09:00 pm,"Top Dice"
241,0,412,18 April 2009 01:00 am,"Perfection Quotients"
242,0,484,25 April 2009 05:00 am,"Odd Triplets"
243,0,1938,02 May 2009 09:00 am,"Resilience"
244,0,601,09 May 2009 01:00 pm,"Sliders"
245,0,386,15 May 2009 01:00 pm,"Coresilience"
246,0,396,22 May 2009 04:00 pm,"Tangents to an ellipse"
247,0,690,29 May 2009 08:00 pm,"Squares under a hyperbola"
248,0,547,06 June 2009 12:00 am,"Numbers for which Euler&rsquo;s totient function equals 13!"
249,0,928,13 June 2009 04:00 am,"Prime Subset Sums"
250,0,1040,13 June 2009 04:00 am,"250250"
251,0,581,20 June 2009 08:00 am,"Cardano Triplets"
252,0,437,27 June 2009 12:00 pm,"Convex Holes"
253,0,422,28 August 2009 12:00 pm,"Tidying up"
254,0,453,04 September 2009 04:00 pm,"Sums of Digit Factorials"
255,0,428,11 September 2009 08:00 pm,"Rounded Square Roots"
256,0,357,19 September 2009 12:00 am,"Tatami-Free Rooms"
257,0,327,26 September 2009 04:00 am,"Angular Bisectors"
258,0,593,03 October 2009 08:00 am,"A lagged Fibonacci sequence"
259,0,597,10 October 2009 12:00 pm,"Reachable Numbers"
260,0,577,16 October 2009 12:00 pm,"Stone Game"
261,0,324,23 October 2009 04:00 pm,"Pivotal Square Sums"
262,0,365,30 October 2009 09:00 pm,"Mountain Range."
263,0,457,07 November 2009 01:00 am,"An engineers' dream come true"
264,0,310,14 November 2009 05:00 am,"Triangle Centres"
265,0,1687,21 November 2009 09:00 am,"Binary Circles"
266,0,634,28 November 2009 01:00 pm,"Pseudo Square Root"
267,0,1193,04 December 2009 01:00 pm,"Billionaire"
268,0,567,11 December 2009 05:00 pm,"Counting numbers with at least four distinct prime factors less than 100"
269,0,334,19 December 2009 09:00 am,"Polynomials with at least one integer root"
270,0,335,26 December 2009 01:00 am,"Cutting Squares"
271,0,816,02 January 2010 05:00 am,"Modular Cubes, part 1"
272,0,367,02 January 2010 05:00 am,"Modular Cubes, part 2"
273,0,540,09 January 2010 01:00 pm,"Sum of Squares"
274,0,639,15 January 2010 01:00 pm,"Divisibility Multipliers"
275,0,308,22 January 2010 05:00 pm,"Balanced Sculptures"
276,0,430,29 January 2010 09:00 pm,"Primitive Triangles"
277,0,1250,06 February 2010 01:00 am,"A Modified Collatz sequence"
278,0,418,13 February 2010 05:00 am,"Linear Combinations of Semiprimes"
279,0,322,20 February 2010 09:00 am,"Triangles with integral sides and an integral angle "
280,0,431,27 February 2010 01:00 pm,"Ant and seeds"
281,0,385,05 March 2010 01:00 pm,"Pizza Toppings"
282,0,411,12 March 2010 05:00 pm,"The Ackermann function"
283,0,327,19 March 2010 09:00 pm,"Integer sided triangles for which the  area/perimeter ratio is integral."
284,0,542,27 March 2010 01:00 am,"Steady Squares"
285,0,495,03 April 2010 04:00 am,"Pythagorean odds"
286,0,783,03 April 2010 04:00 am,"Scoring probabilities"
287,0,598,10 April 2010 08:00 am,"Quadtree encoding (a simple compression algorithm)"
288,0,500,17 April 2010 12:00 pm,"An enormous factorial"
289,0,266,23 April 2010 12:00 pm,"Eulerian Cycles"
290,0,423,30 April 2010 04:00 pm,"Digital Signature"
291,0,515,07 May 2010 08:00 pm,"Panaitopol Primes"
292,0,301,15 May 2010 12:00 am,"Pythagorean Polygons"
293,0,911,22 May 2010 04:00 am,"Pseudo-Fortunate Numbers"
294,0,372,29 May 2010 08:00 am,"Sum of digits - experience #23"
295,0,263,05 June 2010 12:00 pm,"Lenticular holes"
296,0,291,11 June 2010 12:00 pm,"Angular Bisector and Tangent"
297,0,1063,18 June 2010 04:00 pm,"Zeckendorf Representation"
298,0,321,25 June 2010 08:00 pm,"Selective Amnesia"
299,0,331,03 July 2010 12:00 am,"Three similar triangles"
300,0,395,04 September 2010 12:00 pm,"Protein folding"
301,0,1709,11 September 2010 03:00 pm,"Nim"
302,0,318,18 September 2010 06:00 pm,"Strong Achilles Numbers"
303,0,1229,25 September 2010 09:00 pm,"Multiples with small digits"
304,0,695,03 October 2010 12:00 am,"Primonacci"
305,0,306,10 October 2010 03:00 am,"Reflexive Position"
306,0,448,17 October 2010 06:00 am,"Paper-strip Game"
307,0,570,24 October 2010 09:00 am,"Chip Defects"
308,0,349,30 October 2010 12:00 pm,"An amazing Prime-generating Automaton"
309,0,329,06 November 2010 04:00 pm,"Integer Ladders"
310,0,381,13 November 2010 07:00 pm,"Nim Square"
311,0,222,20 November 2010 10:00 pm,"Biclinic Integral Quadrilaterals"
312,0,338,28 November 2010 01:00 am,"Cyclic paths on Sierpi&#324;ski graphs"
313,0,484,05 December 2010 04:00 am,"Sliding game"
314,0,233,12 December 2010 07:00 am,"The Mouse on the Moon"
315,0,858,19 December 2010 10:00 am,"Digital root clocks"
316,0,278,25 December 2010 01:00 pm,"Numbers in decimal expansions"
317,0,762,01 January 2011 04:00 pm,"Firecracker"
318,0,337,01 January 2011 04:00 pm,"2011 nines"
319,0,189,08 January 2011 07:00 pm,"Bounded Sequences"
320,0,294,15 January 2011 10:00 pm,"Factorials divisible by a huge integer"
321,0,576,23 January 2011 01:00 am,"Swapping Counters"
322,0,203,30 January 2011 04:00 am,"Binomial coefficients divisible by 10"
323,0,917,06 February 2011 07:00 am,"Bitwise-OR operations on random integers"
324,0,259,13 February 2011 10:00 am,"Building a tower"
325,0,204,19 February 2011 01:00 pm,"Stone Game II"
326,0,236,26 February 2011 04:00 pm,"Modulo Summations"
327,0,429,05 March 2011 07:00 pm,"Rooms of Doom"
328,0,182,12 March 2011 10:00 pm,"Lowest-cost Search"
329,0,652,20 March 2011 01:00 am,"Prime Frog"
330,0,214,27 March 2011 04:00 am,"Euler's Number"
